"동별(1)",동별(2),2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,4475726,9655918,4660459,4995459,9407540,4552501,4855039,248378,107958,140420,2.10,1725801,4469417,9638799,4649446,4989353,9386034,4540031,4846003,252765,109415,143350,2.10,1743696
"합계",종로구,72304,151127,72222,78905,139945,67625,72320,11182,4597,6585,1.94,28610,72067,150453,71890,78563,139417,67306,72111,11036,4584,6452,1.93,28764
"합계",중구,64609,131825,63661,68164,121405,58788,62617,10420,4873,5547,1.88,25737,64714,131793,63495,68298,121312,58659,62653,10481,4836,5645,1.87,25920
"합계",용산구,109360,230692,111646,119046,216152,103804,112348,14540,7842,6698,1.98,39972,107825,227106,109826,117280,213151,102312,110839,13955,7514,6441,1.98,39747
"합계",성동구,133366,285543,138109,147434,278366,135143,143223,7177,2966,4211,2.09,48988,133089,284766,137620,147146,277361,134519,142842,7405,3101,4304,2.08,49462
"합계",광진구,170388,351959,168059,183900,336604,161892,174712,15355,6167,9188,1.98,56173,170077,351180,167562,183618,335554,161277,174277,15626,6285,9341,1.97,56819
"합계",동대문구,173091,359113,173936,185177,341238,167468,173770,17875,6468,11407,1.97,66440,172801,359873,174120,185753,341149,167346,173803,18724,6774,11950,1.97,67030
"합계",중랑구,187900,387940,189874,198066,382797,187844,194953,5143,2030,3113,2.04,77949,188097,387470,189462,198008,382155,187372,194783,5315,2090,3225,2.03,78955
"합계",성북구,197607,440089,209742,230347,427671,205245,222426,12418,4497,7921,2.16,79739,196800,438168,208682,229486,425602,204171,221431,12566,4511,8055,2.16,80414
"합계",강북구,144269,294804,142202,152602,290155,140589,149566,4649,1613,3036,2.01,68119,143560,292977,141185,151792,288113,139514,148599,4864,1671,3193,2.01,68617
"합계",도봉구,138210,310133,150104,160029,307740,149281,158459,2393,823,1570,2.23,69508,138261,309494,149675,159819,306948,148796,158152,2546,879,1667,2.22,70436
"합계",노원구,218367,504423,241959,262464,499989,240084,259905,4434,1875,2559,2.29,95384,217904,502925,241099,261826,498213,239117,259096,4712,1982,2730,2.29,96422
"합계",은평구,215776,471155,223585,247570,467098,221977,245121,4057,1608,2449,2.16,92820,215721,470869,223330,247539,466770,221725,245045,4099,1605,2494,2.16,93817
"합계",서대문구,147333,321379,150451,170928,307441,146119,161322,13938,4332,9606,2.09,57632,146845,320629,149879,170750,306231,145404,160827,14398,4475,9923,2.09,58113
"합계",마포구,181192,375639,174343,201296,364257,170296,193961,11382,4047,7335,2.01,57462,181090,375162,174073,201089,363697,169990,193707,11465,4083,7382,2.01,57895
"합계",양천구,181072,440591,214964,225627,437401,213648,223753,3190,1316,1874,2.42,75420,180695,439252,214161,225091,436028,212835,223193,3224,1326,1898,2.41,76317
"합계",강서구,274249,569978,272961,297017,564339,270491,293848,5639,2470,3169,2.06,100929,274084,568826,272338,296488,563058,269822,293236,5768,2516,3252,2.05,102096
"합계",구로구,184467,416815,205465,211350,393929,193258,200671,22886,12207,10679,2.14,79150,184096,415651,204715,210936,392405,192341,200064,23246,12374,10872,2.13,79984
"합계",금천구,120650,242076,122132,119944,228611,115038,113573,13465,7094,6371,1.89,44793,120381,241105,121592,119513,227481,114414,113067,13624,7178,6446,1.89,45342
"합계",영등포구,190761,398290,195857,202433,375586,184175,191411,22704,11682,11022,1.97,66975,190737,397800,195493,202307,374794,183726,191068,23006,11767,11239,1.96,67509
"합계",동작구,187199,390740,188222,202518,380154,183880,196274,10586,4342,6244,2.03,69944,186675,389714,187623,202091,378769,183153,195616,10945,4470,6475,2.03,70474
"합계",관악구,286045,500582,250388,250194,485172,244198,240974,15410,6190,9220,1.70,84664,284578,497883,249026,248857,481956,242651,239305,15927,6375,9552,1.69,85418
"합계",서초구,169621,410766,195790,214976,406404,193703,212701,4362,2087,2275,2.40,64761,169884,412078,196391,215687,407664,194291,213373,4414,2100,2314,2.40,65661
"합계",강남구,238647,546291,261108,285183,540957,258656,282301,5334,2452,2882,2.27,85288,239775,550282,262991,287291,544873,260520,284353,5409,2471,2938,2.27,86606
"합계",송파구,286123,661515,317792,343723,655744,315224,340520,5771,2568,3203,2.29,107605,285927,660025,316981,343044,654166,314347,339819,5859,2634,3225,2.29,108894
"합계",강동구,203120,462453,225887,236566,458385,224075,234310,4068,1812,2256,2.26,81739,203734,463318,226237,237081,459167,224423,234744,4151,1814,2337,2.25,82984
